cluster_num,count,top_title,top_noun
0,2,'과학방역' 내세운 중대본…전문가위원회·빅데이터 플랫폼 구성,과학방역 중대본 전문가위원회 빅데이터 플랫폼 구성
1,6,"넥슨, 라프텔과 '가명정보 결합'…데이터 사이언스 강화",넥슨 라프텔 가명정보 결합 데이터 사이언스 강화
2,1,"인공위성 '세종 1호' 쏘는 한글과컴퓨터, 이미지 데이터 노린다",인공위성 세종 한글과컴퓨터 이미지 데이터
3,1,"KT SAT ""스페이스데이터 서비스 진출…글로벌 브랜드 키운다""",스페이스데이터 서비스 진출 글로벌 브랜드
4,2,"농협은행, 마이데이터 친구추천 이벤트 진행",농협은행 마이데이터 친구추천 이벤트 진행
5,11,"하동군, 공공데이터 기업매칭 공모 선정",하동군 공공데이터 기업매칭 공모 선정
6,1,"행안부, 공기관 포함 467개 기관 데이터기반행정 점검",행안부 공기관 포함 기관 데이터기반행정 점검
7,2,교통사망사고 빅데이터로 도민생명 살린다,교통사망사고 빅데이터 도민생명
8,3,"“랜섬웨어 피해 기업 3곳 중 1곳, 대가 지불해도 데이터 복구 실패”",랜섬웨 기업 지불 데이터 복구 실패
9,1,"안산시, ‘공공데이터 기업매칭 지원사업’ 추진",안산시 공공데이터 기업매칭 지원사업 추진
10,1,"백경란 질병청장 ""감염병 컨트롤타워 역할 재정립할 것""...전문가위원회·빅데이터 플랫폼 구성",질병청장 감염병 컨트롤타워 재정립 전문가위원회 빅데이터 플랫폼 구성
11,1,"백경란 신임 질병청장 ""데이터 활용..과학 방역할것""",질병청장 데이터 활용 과학 방역할것
12,1,인천관광공사 공공데이터 기업매칭사업 국비 10억,인천관광공사 공공데이터 기업매칭사업 국비
13,5,"보령시, '공공데이터 기업매칭 지원사업' 2년 연속 선정",보령시 공공데이터 기업매칭 지원사업 연속 선정
14,1,"정부, '코로나 빅데이터 플랫폼' 구축…교육·돌봄시설 '공기정화' 지원(종합)",정부 빅데이터 플랫폼 구축 교육 돌봄시설 공기정화 지원 종합
15,1,"한국축산데이터, 축산분야 亞최초 영국 GEP 선정…""유럽 진출 본격화""",한국축산데이터 축산분야 亞최초 영국 선정 유럽 진출 본격화
16,1,"尹 디지털플랫폼정부 '목적' 분명해야…""데이터 '호수→늪' 된다"" [IT돋보기]",디지털플랫폼정부 목적 분명 데이터 호수 돋보기
17,1,백경란 “빅데이터 기반 ‘과학방역’…감염병 컨트롤타워 정립할 것’”,빅데이터 기반 과학방역 감염병 컨트롤타워 정립
18,1,"한컴, 25일 세종1호 발사...위성 기반 데이터 서비스 사업 본격 시동",한컴 세종 발사 위성 기반 데이터 서비스 사업 시동
19,1,[갈길 먼 마이데이터]② 영국에선 플랫폼이 된 마이데이터 사업자,마이데이터 영국에선 플랫폼 마이데이터 사업자
20,3,중대본 “전문가위·빅데이터 플랫폼 구성”…확진자 3만1352명,중대본 전문가위 빅데이터 플랫폼 구성 확진자
21,6,"유성구, '공공데이터 기업매칭 지원 사업' 추진",유성구 공공데이터 기업매칭 지원 사업 추진
22,1,[빅데이터MSI]18일 오전 주식시장 심리 4단계 '보통',빅데이터MSI 오전 주식시장 심리 단계
23,3,"인젠트, 가명/익명처리 서비스 ‘마이데이터 쉴드’ 무료체험",인젠트 가명 익명처리 서비스 마이데이터 쉴드 무료체험
24,2,자율주행 로봇이 거리청소 하는 헬싱키… IoT기반 데이터로 홍수 예측하는 뉴욕,자율주행 로봇 거리청소 헬싱키 기반 데이터 홍수 예측 뉴욕
25,2,"[올댓차이나] 중국, 채권거래 데이터 해외 기관투자가에 공개 중단",올댓차 중국 채권거래 데이터 해외 기관투자가 공개 중단
26,3,샴푸 브랜드평판 2022년 5월 빅데이터 분석결과,샴푸 브랜드평판 빅데이터 분석결과
27,3,"과기원통증연구단-티쓰리큐, AI 빅데이터 이용 난치성 통증 연구 MOU",과기원통증연구단 티쓰리큐 빅데이터 이용 난치성 통증 연구
28,2,2023년 의료 마이데이터…민간 빠진 '반쪽개통' 우려,의료 마이데이터 민간 반쪽개통 우려
29,2,"[갈길 먼 마이데이터] 디지.미 회장 ""개인이 적극 공유하는 정보로 기업과 연결""",마이데이터 회장 개인 적극 공유 정보 기업 연결
30,2,"삼성카드, 마이데이터 공백 채우기 심혈",삼성카드 마이데이터 공백 심혈
31,4,"환경자원 데이터 플랫폼 '빼기', 25억 규모 후속투자 유치 성공",환경자원 데이터 플랫폼 규모 후속투자 유치 성공
32,2,"[속보] ""연말까지 코로나 환자·진료 정보 '빅데이터 플랫폼'으로 통합""",속보 연말 환자 진료 정보 빅데이터 플랫폼 통합
33,1,[데이터뉴스]'벤처펀드 1조' VC 7곳,데이터뉴스 벤처펀드
34,2,"에너지밸런스, '2022 데이터스타즈' 대상기업 선정",에너지밸런스 데이터스타즈 대상기업 선정
35,1,"한국빅데이터학회, '빅데이터AI포럼' 창립",한국빅데이터학회 빅데이터AI포럼 창립
36,2,‘마이데이터’가 재무·소비 분석…나만의 상품 찾아준다,마이데이터 재무 소비 분석 상품
37,4,"호주, 범죄 저지른 10대 청소년들 '데이터+와이파이' 안 되는 시골 오지로 보내버린다",호주 범죄 청소년들 데이터 와이파 시골 오지
38,3,"[속보] ""100일 내로 전문가 중심 독립위 구성, 빅데이터 플랫폼 구축""",속보 전문 중심 독립위 구성 빅데이터 플랫폼 구축
39,3,"[현장] 아시아 최대 KTSAT 금산위성센터, 우주데이터 사업 기지 된다",현장 아시아 최대 금산위성센터 우주데이터 사업
40,2,"빔 소프트웨어, 'VeeamON 2022' 개최... 데이터 보호의 미래 제시",소프트웨어 개최 데이터 보호 미래 제시
41,3,"한세예스24홀딩스, 박현영 데이터분석가 초청해 강연회 열어",한세예스 홀딩스 박현영 데이터분석가 초청해 강연회
