title,url,thumbnail,cluster2nd
국방 공공데이터 활용 창업경진대회…국민 누구나 참여,http://www.newsis.com/view/?id=NISX20220530_0001890396&cID=10301&pID=10300,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F05%2F30%2F11217529.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,4
"신용정보원, 공공 마이데이터 활용 정보 확대 제공",http://www.etnews.com/20220530000133,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F030%2F2022%2F05%2F30%2F3020217.jpg&type=ff264_180&expire=2&refresh=true,4
'개방직' 부산시 빅데이터통계과장에 김현선 前IBM 상무,https://www.yna.co.kr/view/AKR20220530040500001?input=1195m,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F05%2F30%2F13214001.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
구미시 공공데이터 기업매칭지원사업 선정,https://www.sedaily.com/NewsView/26666EL0YL,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F011%2F2022%2F05%2F30%2F4059670.jpg&type=ff264_180&expire=2&refresh=true,2
"심평원-데이터산업진흥원, 업무협약 ""빅데이터 기반 혁신 창출""",http://news.heraldcorp.com/view.php?ud=20220530000727,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F016%2F2022%2F05%2F30%2F1997301.jpg&type=ff264_180&expire=2&refresh=true,1
"효성인포메이션시스템, 데이터 패브릭 혁신 지원",http://www.inews24.com/view/1485424,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F031%2F2022%2F05%2F30%2F675696.jpg&type=ff264_180&expire=2&refresh=true,8
김포시 데이터 기반 행정으로 '스마트 도시' 구현,http://news.mt.co.kr/mtview.php?no=2022053013062480433,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F008%2F2022%2F05%2F30%2F4752596.jpg&type=ff264_180&expire=2&refresh=true,8
"주가 폭락에 증권거래세 34%↓…""이참에 폐지"" 주장도 [강진규의 데이터너머]",https://www.hankyung.com/finance/article/202205302243i,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F015%2F2022%2F05%2F30%2F4705541.jpg&type=ff264_180&expire=2&refresh=true,1
"쿠콘, 현대차증권 마이데이터 서비스에 데이터 제공",http://www.fnnews.com/news/202205300958227648,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F014%2F2022%2F05%2F30%2F4843933.jpg&type=ff264_180&expire=2&refresh=true,28
"중국, '데이터통합 프로젝트' 본격 추진…첫 회의 개최",https://www.yna.co.kr/view/AKR20220530049300009?input=1195m,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F05%2F30%2F13213559.jpg&type=ff264_180&expire=2&refresh=true,18
